"","Date","LocalName","Name","CountryCode","Fixed","Global","LaunchYear","Type","Counties"
"268",2023-03-01,"Dia de les Illes Balears","Day of the Balearic Islands","ES",TRUE,FALSE,NA,"Public","ES-IB"
"269",2023-03-20,"San José","St. Joseph's Day","ES",TRUE,FALSE,NA,"Public","ES-MD"
"270",2023-04-06,"Jueves Santo","Maundy Thursday","ES",FALSE,FALSE,NA,"Public","ES-AN,ES-AR,ES-CL,ES-CM,ES-CN,ES-EX,ES-GA,ES-IB,ES-RI,ES-MD,ES-MC,ES-NC,ES-AS,ES-PV,ES-CB"
"271",2023-04-07,"Viernes Santo","Good Friday","ES",FALSE,TRUE,NA,"Public","All"
"272",2023-04-10,"Lunes de Pascua","Easter Monday","ES",FALSE,FALSE,1642,"Public","ES-CT,ES-IB,ES-RI,ES-NC,ES-PV,ES-VC"
"273",2023-04-24,"San Jorge (Día de Aragón)","Day of Aragón","ES",TRUE,FALSE,NA,"Public","ES-AR"
"274",2023-05-01,"Fiesta del trabajo","Labour Day","ES",TRUE,TRUE,NA,"Public","All"
"275",2023-05-02,"Fiesta de la Comunidad de Madrid","Day of Madrid","ES",FALSE,FALSE,NA,"Public","ES-MD"
"276",2023-05-17,"Día das Letras Galegas","Galician Literature Day","ES",TRUE,FALSE,NA,"Public","ES-GA"
"277",2023-05-30,"Día de Canarias","Day of the Canary Islands","ES",TRUE,FALSE,NA,"Public","ES-CN"
